Queue,RevenuType,Program,Reason,CountryProcessed,time_to_complete
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Brazil,7632.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,14263.0
<VL AOC Outbound Shipping>,Non-revenue,Enterprise,Order Transaction Request,United States,12875.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1716.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,3423.0
<VL AOC E&E EA Core Processing>,Future Billing,Enterprise,Order Transaction Request,United States,11682.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,2616.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,Canada,11855.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,17516.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,11814.0
<VL NAOC Order Rework>,Non-revenue,Enterprise,Order Transaction Request,United States,4162.0
<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States,17539.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,190.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,19241.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,446.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,8556.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Czech Republic,5061.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Belgium,11215.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,1575.0
<VL EOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,South Africa,11642.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Turkey,7590.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Spain,7278.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,1285.0
<VL EOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,France,13011.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,France,12995.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,8310.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,9111.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,10305.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,9644.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4626.0
<VL NAOC Order Rework>,Credit / Rebill,Campus,Order Transaction Request,United States,5802.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,11605.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4604.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Turkey,11168.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,12353.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,10673.0
<VL AOC Outbound Shipping>,Future Billing,Enterprise,Order Transaction Request,United States,13119.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,15978.0
